iteration  cost  accuracy
     1   3.305642e+00   10.180000
     2   3.246980e+00   11.960000
     3   3.227522e+00   17.220000
     4   2.638597e+00   57.460000
     5   2.257803e+00   59.800000
     6   2.007191e+00   67.400000
     7   1.630119e+00   76.120000
     8   1.527534e+00   76.380000
     9   1.418568e+00   75.480000
    10   1.262481e+00   81.580000
    11   1.242315e+00   82.640000
    12   1.195590e+00   82.940000
    13   1.127252e+00   84.960000
    14   1.096969e+00   85.960000
    15   1.065894e+00   86.780000
    16   1.007695e+00   87.300000
    17   9.634449e-01   87.780000
    18   9.393331e-01   88.040000
    19   9.139110e-01   88.640000
    20   8.793738e-01   89.060000
    21   8.454989e-01   89.360000
    22   8.201062e-01   90.140000
    23   7.930677e-01   90.100000
    24   7.602702e-01   90.620000
    25   7.352039e-01   91.340000
    26   7.158306e-01   90.940000
    27   7.033508e-01   91.580000
    28   6.850693e-01   91.980000
    29   6.515274e-01   92.080000
    30   6.254457e-01   92.540000
    31   6.098474e-01   92.640000
    32   6.075214e-01   92.940000
    33   5.992655e-01   93.020000
    34   5.941915e-01   93.080000
    35   5.909408e-01   92.980000
    36   5.860377e-01   93.220000
    37   5.820274e-01   93.280000
    38   5.751695e-01   93.480000
    39   5.665977e-01   93.800000
    40   5.564890e-01   93.840000
    41   5.513331e-01   93.940000
    42   5.486655e-01   93.960000
    43   5.450235e-01   93.960000
    44   5.421563e-01   94.180000
    45   5.409871e-01   94.140000
    46   5.319811e-01   94.320000
    47   5.196407e-01   94.440000
    48   5.079889e-01   94.760000
    49   4.988874e-01   95.120000
    50   4.957183e-01   95.200000
